REGO,ID,C01_LNO,C03_REL,C04_SEX,C05_AGE,C06_STATUS,C08_CUR_ATTEND,C09_CUR_GRADE,C10_YNOT_ATTND,C12_HGC,C13_DID_WORK,C14_CLS_WKR,PPENSSS01,PPENGSIS02,PPHEALTH03A,PPHEALTH03B,PINSURANCE04,PPS01,PTWSP02,PCBEP03,PSBSFAG04,PSBSFAP05,SEAK01,CBLP02,PEAF03,SKILLS04,PSFEED05,MEM_RFACT
12,0000000010030,02,2,2,54,2, ,   ,  ,814,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,01062.3491
12,0000000010030,03,3,2,31,1, ,   ,  ,872,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01576.9900
12,0000000010030,04,3,2,23,1,3,   ,06,872,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01582.3613
12,0000000010031,01,1,1,48,4, ,   ,  ,710,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01168.9045
12,0000000010031,02,3,1,24,1,3,   ,04,710,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01701.7072
12,0000000010031,03,3,2,08,1,1,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073.5084
12,0000000010031,04,3,2,05,1,1,010,  ,000,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01073.5084
12,0000000010031,05,3,1,03,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01273.3688
12,0000000010031,06,8,2,20,1,3,   ,04,710,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01582.3613
12,0000000010031,07,6,2,04,1,1,010,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01155.7387
12,0000000010031,08,7,2,90,3, ,   ,  ,180,2, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01474.7599
12,0000000010032,01,1,1,67,2, ,   ,  ,720,2, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01363.6430
12,0000000010032,02,2,2,67,2, ,   ,  ,834,2, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,01441.3710
12,0000000010032,03,3,2,29,1, ,   ,  ,848,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01470.1331
12,0000000010032,04,3,1,39,2, ,   ,  ,852,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01116.8079
12,0000000010032,05,5,2,41,2, ,   ,  ,834,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01422.0073
